asrn	17907 
brss	21287 
elicited	21197 
690	20206 16337 15875 15045 17651 17719 21042 14861 
crush	18531 15953 15875 18177 14922 
texas	16636 17771 19181 15193 19756 20709 18746 18840 16112 18738 21363 20919 19880 16166 20721 20790 16695 16271 15593 15602 18145 21187 16005 20936 18873 21050 20764 17813 19860 16593 18754 18300 18765 19699 21260 20515 17839 20420 18654 18810 18283 19280 18253 21067 17757 19174 16395 19127 19471 17521 18917 17784 16214 21267 16354 18795 16483 18728 19499 18736 15973 15063 20419 18906 19263 16332 18186 15238 19285 
fundamentally	20039 20259 19499 
depository	15565 
2250	15584 
implicitly	21080 
signalling	20500 19028 
alloys	19692 18225 
xon	15575 16449 15366 19664 16176 15607 17519 16581 16833 
chair	20389 
reality	15549 16200 20333 19318 16108 17047 
liable	17574 
326	20879 17802 15668 18283 15584 16810 15380 
1200	19208 15536 16493 
frustrated	15372 15363 
gamesmanship	20764 
behaviour	20262 
thaisarco	19065 
downtime	18177 
unlike	17915 17986 21542 15372 15653 18185 20045 16277 17966 16727 
axelgard	21013 
certificates	20025 20186 15973 16779 16074 15448 16120 19529 21078 19511 
spi	17694 
fitzwater	15223 16903 16794 15171 19882 16926 
flaef	20372 
centred	14826 
earlie	19986 
declines	20083 19683 20210 16005 19464 15161 20021 20500 16852 15607 15212 19285 20824 18236 20769 18577 17896 17669 20759 20087 16667 
na	18875 17813 20888 
178	19110 18347 20735 15359 15875 15238 20319 15567 
survive	19534 15345 17886 19570 
executing	19201 17573 
tvxg	18986 15739 
wmb	15325 
anderson	20869 19572 15052 
nics	16214 
understated	21368 
adjourn	20142 18751 19766 18663 
buyouts	17700 
stenholm	15254 
stowe	15052 
vermin	14828 
phased	20829 15804 15237 
spirit	21339 19844 16176 21512 20631 20907 21521 15254 19993 21277 17039 21556 
grossa	15536 
janeiro	18851 18865 19458 18323 
philmac	17950 
bitter	17979 17700 19760 16093 
confectionery	16098 16148 
confirm	16833 17886 21473 18571 15431 19882 
necessity	19556 
investigations	15932 15912 15031 15988 20811 15620 
defined	16755 19556 18487 15478 19294 20794 16779 
proof	18050 15447 
denmark	19534 19262 19555 18599 18995 19867 15017 14988 17477 20868 18109 
money	20409 14964 18549 20159 16074 15448 18075 20016 16177 16755 18938 16213 17042 20262 16285 18086 17915 18609 16188 16282 19284 15996 19191 14849 16250 16133 15523 20922 18071 17930 15989 21367 14931 17620 15194 17883 19483 18487 18465 15444 16268 15552 18520 19541 19295 15510 16565 17952 17970 19432 21542 14982 17523 15242 16777 21468 19367 19087 20907 15254 16097 15987 15410 21277 16190 20038 16251 21511 19511 15364 15409 19037 19294 14919 16118 20025 18142 14890 20500 16767 20048 14873 15246 15625 15310 17849 17644 18642 19512 15976 18051 15384 16852 19028 15436 20259 15378 17966 18672 15063 19006 15840 16150 18946 21202 17036 15212 16093 19285 18860 20868 14861 15550 16083 16779 21508 
imnet	21133 
357	15680 21219 15005 16808 
carlos	16099 20662 20649 15540 16739 17877 
ai	16588 18963 
mutchie	19386 
needles	19773 
drafts	21080 
stoppage	18945 
chcr	19267 
uwe	21508 
wallin	15213 
suspect	16053 
contribution	18744 19509 19869 20038 18625 15226 20080 19000 20220 15451 18990 20382 
430	20494 19854 19284 18180 20515 19713 21236 16912 16546 15495 19294 15864 20976 15584 
boesky	16278 19432 
lsi	19959 19042 21182 
260	21192 15871 16175 19844 16360 16172 20490 16119 19291 21112 
unregistered	16718 18109 
principally	21201 17777 15270 16685 16872 19751 
principal	21469 19837 15898 18798 16420 19181 17763 19906 19833 18213 15565 20868 16282 16163 18176 18605 19136 16737 17886 16287 20344 21278 15479 
gains	15729 20497 16619 16374 16343 20814 21324 15732 15742 15691 18252 16405 15103 15985 15065 16642 16005 15521 15130 21378 19483 16490 21034 15639 15093 21300 16009 16162 20628 21131 20174 21215 16125 20443 20279 20241 20286 16399 19357 18326 21322 16284 15704 16478 20770 16434 15128 16602 16360 15556 20332 20129 19862 21561 15641 21238 20237 18575 16492 16347 19128 20291 20639 15840 20226 16615 21336 15851 16310 
891	19790 19165 16388 15742 18732 
motivate	19556 
drkn	21039 
distillates	19497 20730 
concretely	15384 
ability	16379 15861 20232 17930 18504 15345 17506 15551 16139 18142 17863 19471 20698 16875 19040 19377 16256 16009 17970 19432 14891 17573 15372 16519 15281 
yard	20699 
natiionale	15255 
isn	20869 16095 16053 
person	18138 19679 15569 21078 20698 
365	15438 15292 
norske	16166 21541 21018 20270 17618 
311	16561 15888 15679 17506 20569 21286 17956 20658 
les	15146 
elstree	21065 
signifying	15567 
abatements	15939 
soda	20328 
edwards	18732 
bellies	16009 
chart	15624 19483 17871 
ancillary	19835 19947 
semimanufactured	20757 
7289	15584 
repeals	15322 
marais	18730 
soaking	18306 
controlled	21319 18138 14921 20693 18531 17701 17957 18849 18778 19510 20584 16029 16680 17986 17839 19368 15653 17785 16072 16136 19751 17576 20905 16677 20811 20698 
whereas	19373 
forms	16278 17671 17518 16023 15667 17452 
evidence	18682 20262 19075 20458 16359 18012 17771 15372 16072 18010 17452 18104 16926 15620 20013 18924 17036 
separate	21486 21541 17783 14957 21575 17876 18337 15503 15455 17480 18658 16851 21078 17875 15308 17805 17486 17870 17874 15400 14839 17519 
naval	21443 20719 16366 21002 15230 20769 18160 19684 21369 17888 19882 19285 21459 20632 
detention	17925 
uspci	17812 20800 
couple	16577 18938 18688 19964 17863 20048 18085 20259 
sara	18111 
ownserhip	16363 
stepped	16744 21277 14826 
uneven	16359 15454 
pohlad	20396 
488	16681 15906 16641 15953 16367 21373 20045 15719 15816 19787 20920 
1500	15219 
christians	21277 21477 
hydrodealkylation	19903 
howe	20991 
hostile	20464 16252 16023 17701 20774 15600 17837 18744 19426 19432 14982 19760 17863 18576 16395 19419 16483 15063 20698 20489 
watered	14891 
pct	21080 16074 20461 15314 15448 16331 16307 21469 17470 19110 16684 20457 18482 20159 16513 16264 15496 16201 17766 16681 20228 16438 20265 20217 18011 16577 17873 16763 20803 17593 16752 18896 17601 17728 16177 14843 21319 17053 18768 16223 18075 17574 20016 19409 16112 19041 19545 16755 17906 16670 20304 16427 21368 20396 21497 16171 15110 16080 19121 17042 19359 15122 16029 15963 21133 21293 21412 19480 16555 16304 16357 15351 20262 19683 15736 17563 19880 19539 19872 17686 16166 18086 21486 15725 17612 18138 16409 21553 16099 16583 21207 15119 18609 17777 16188 18313 16443 18521 20814 15043 20005 21324 17922 15335 16282 16274 18355 17984 20153 18539 16488 19912 21245 18252 17958 19191 15560 15026 21357 16163 21421 18986 15742 21541 19679 20790 14854 18605 16314 17660 14865 19341 19703 15602 19075 14907 19959 16144 16450 16600 16155 19451 15894 20517 15805 15217 19478 16196 15270 14993 18564 18987 18345 18205 16247 15103 17776 19837 16100 16923 16094 16642 16117 14849 20767 18993 19136 15356 16685 15459 20797 21525 18763 21530 16005 15523 19448 15672 19273 17783 17658 21130 17052 16026 16359 21331 17702 15605 20352 20392 19808 20511 16021 19984 18366 15481 19005 16775 18493 14832 19731 14875 16589 18811 16759 14921 19927 18920 17930 17513 18590 17948 15416 19509 18665 21574 17620 20666 20917 20764 18001 21367 16134 19428 16700 15997 16098 18340 19165 20682 17567 14931 16872 21157 16753 16398 16383 17491 18479 17511 15194 19237 18873 20693 17502 17883 16630 14974 17760 20775 19201 16495 19004 20106 18362 18531 15643 15545 15521 14918 14862 18034 16007 15527 19083 20532 19483 20298 18904 20001 18504 18487 20678 16145 20037 19706 16268 20275 18996 17986 17670 18465 20116 18476 18975 19654 16088 15444 15762 20921 16680 15639 19799 15552 18356 18567 15596 17480 16770 18300 19295 15093 21417 14867 17509 18520 17913 19541 16211 20264 17701 17529 17048 20406 19875 16565 19360 18306 17712 20247 17051 17479 14828 16180 20062 19513 17952 20398 16747 15733 18911 18985 15121 17970 19441 19082 17770 18497 17957 18519 18280 19810 19020 15366 16312 16120 15610 21265 19356 21285 17630 19529 15539 15451 16315 14891 16420 14982 19802 18146 18858 15438 18191 14859 17965 15055 15033 16226 17503 19155 17506 19181 16658 15961 18536 19832 21575 15397 19713 19334 18302 15404 16298 16179 16893 16281 15049 16777 15190 18600 21468 15263 15210 19042 15274 15878 16125 19270 16932 20105 17573 15386 18724 16856 16197 21040 18988 19672 15427 19918 15703 16270 16233 21002 19645 17968 19079 19368 17716 15365 16475 14888 16248 15569 21060 21221 21030 15551 15478 15254 15424 18523 20093 16843 15987 19571 17443 18664 16103 19547 17812 16158 21551 16097 18566 16407 20618 20021 19062 16833 19913 15410 16399 21277 19551 16794 16195 21359 17886 20297 18095 15975 19435 17640 17805 15964 17785 16190 16851 21078 20038 21511 19511 18530 17577 17875 16570 17688 16761 15417 16621 21124 16251 15737 15579 15097 16463 16417 21510 19540 16710 16118 16873 17897 17700 15913 19839 21539 19037 16139 14919 15489 20945 17876 15841 19982 21473 15472 19666 18689 18995 18480 19955 21532 19751 14890 16136 18275 17960 20025 21423 20270 17442 15276 17956 20145 16164 15413 15573 17863 21333 16638 20500 18136 19930 17866 19760 16238 17633 20048 16367 19697 15349 19081 15578 18991 16767 19986 15704 15246 18730 19364 18849 20263 15625 16216 17870 15924 15682 19653 14926 16370 20744 19874 17486 19482 15310 18024 16053 16395 17651 21243 17576 16402 18595 16265 16434 20905 14964 15264 16126 15128 19077 21071 21408 15179 21073 16091 17822 15600 15380 18466 16591 16142 19327 20208 15112 19127 16096 18509 19767 20311 18861 18534 19431 18642 18229 19167 16644 18688 20321 15106 18488 17849 16854 19833 19487 18537 14829 19512 19690 16176 19275 16426 17874 16481 19775 17784 15384 21404 18210 21561 17907 18739 15939 20344 16159 18051 15313 18917 15800 16214 15772 20773 21343 15149 19017 16429 17672 19028 18317 18213 19732 15447 16149 18973 15436 19507 15641 21287 20259 15378 14842 18334 19769 19546 15004 17457 17923 17877 15615 19693 17746 19492 15095 15389 18672 18533 20787 16108 16652 18752 21550 16574 17966 17837 18902 15052 16161 21097 15816 18182 16929 18009 16415 16203 15213 17698 17896 19000 17888 16444 18549 15175 16790 18781 19050 21411 16119 19786 16874 15565 17448 18490 19343 19719 19061 18614 21538 21393 17791 16236 18994 16740 16727 18148 15063 19022 20698 16241 18698 20013 20489 15840 19737 15429 17911 18325 14872 18029 16783 17579 15675 17758 16150 19006 16772 17993 21251 15096 15583 21321 19065 16143 19663 18663 20035 16052 16656 15808 19562 14933 16459 18930 18990 15227 16746 16332 14949 21065 18467 17860 14987 20382 19044 17036 15212 18186 21466 15713 17703 15598 19985 19351 20611 21228 20734 21307 16310 17047 16063 19510 21519 18104 14900 18495 19625 21376 15238 21046 19764 21019 17477 16897 16926 18223 19040 17899 19549 15154 20137 15686 17449 16604 17568 14826 20868 18540 21535 15550 15471 16779 16148 21508 20723 16667 21571 20766 
dr	15308 15674 17784 
barings	21201 
vernon	20881 
dtrk	15482 
andf	20766 
millimetres	15043 15536 
studied	19556 19283 
aubrey	16565 16072 
unbilled	20896 
ciif	14921 
michelin	16851 
nat	19155 18595 15302 
grows	18496 21536 
accomplish	20469 
franca	15540 
rhi	21251 
geoffrey	21565 21131 20259 20991 
1230	18222 
bananas	17443 
unfounded	21130 
ctbc	15833 
ondustries	16404 
abiding	19993 
delta	15238 
fluids	17563 17580 
cross	20865 18992 19092 18565 16146 17979 
27	21416 20442 19657 16264 20217 20558 20494 14998 20747 21176 15351 15736 21385 16324 16518 20368 18277 15104 20648 16533 16170 15043 17922 20937 16708 16705 20176 14865 14860 21032 16289 16679 20898 20453 16775 14832 17052 16589 19422 16252 15906 19915 20680 18875 15797 21248 15156 21095 16916 15728 17491 20181 21259 16207 18487 15326 19475 15871 16257 20652 20775 21378 19453 15345 20768 17037 21166 15596 20779 20140 15914 16635 17901 14971 15668 17051 21037 14960 19650 18352 16788 20353 15899 16022 17965 17545 15438 15679 20470 15258 19181 15531 20380 18600 20813 21215 15878 18514 21479 16546 16856 21405 15726 15417 18294 16794 17887 15056 20945 20270 15870 15276 19751 16367 21437 16284 15874 20596 19723 20837 20973 16363 15476 20034 19127 19286 14829 17655 20412 18028 20266 18591 15719 20255 20564 16354 20773 16633 15406 15641 16664 21081 15283 20794 16030 18096 14858 20938 15669 20545 18614 16236 17871 21262 21042 20226 20546 18544 15808 16890 20340 15238 15482 20904 19510 18152 17795 15154 15180 20822 16604 17516 21571 20233 
disputes	15200 19262 18992 16794 17816 
darta	19411 19464 20824 20773 19272 
ustr	16564 
bailed	16430 
squire	16195 18111 
categories	19433 21367 20441 
intermittent	18185 19122 17707 17499 
internatinal	18321 
next	16099 17750 17470 19377 14843 21368 16278 16357 18329 15571 21502 16318 19556 17963 15872 18086 21486 15329 21541 18176 17478 16077 19478 15602 18987 16094 14849 18993 15672 19273 17929 16759 20095 18071 19005 19497 17620 19835 15194 16792 20764 16257 14862 20335 19083 19483 18904 16495 17943 16088 15345 15444 15639 18996 15717 19255 17980 20989 19780 16607 17051 20231 17952 18604 18352 18911 17723 18985 19432 15539 14891 15055 16095 18621 19293 19042 19918 19368 19073 17812 18523 16581 16811 17038 20462 19506 15410 16195 16851 15364 18095 15975 21423 18142 15584 19870 19559 19664 18849 21291 15625 18024 19844 17054 14909 21570 19721 19431 16739 21123 20653 15352 16852 19684 19017 20441 15838 18085 15442 19499 19318 19322 19546 21567 20878 14858 15095 18360 16161 18781 17780 15816 17896 16649 19000 17888 18994 20698 19006 19128 20489 15840 17759 17499 18148 18990 15446 19065 16853 19059 21466 15720 19964 18924 15238 20611 19285 19101 17047 15460 20868 21535 20723 15629 
verft	21541 21018 
calabria	15675 
gets	21421 19478 15501 17573 14841 15436 21006 18938 18660 19505 15639 20744 17870 21000 17683 
significant	16264 19556 15335 18108 16600 17731 18149 17502 16607 15625 16354 19492 19128 14933 14862 20001 21131 16095 18302 15531 18066 15230 17812 16006 15666 15975 21573 19870 21408 16564 19507 17452 17896 16649 19000 18614 15238 15363 19764 14826 20868 
baton	15144 
generally	16256 15742 17731 18992 14982 19511 16139 15013 15384 19000 15840 16093 15686 19491 14993 19262 18345 20012 16770 19875 18604 21573 18577 15584 15625 18024 16053 15556 20632 18213 19318 19734 15656 
dependence	17750 21486 14881 20080 14912 20500 
valid	15097 20500 20186 20723 
barry	17978 
duffour	17911 
content	15303 18050 21367 17980 17446 17441 
804	21017 21148 16476 18481 20529 21473 16478 20972 15357 
perkins	20278 
onwards	19110 15500 15913 
849	14995 20468 18830 16248 17975 20564 18166 
implement	21382 17980 16006 20186 19000 20013 19509 18992 19869 15263 21573 18995 
nonbinding	19964 
virtue	19367 
harman	21022 
remittance	16097 
press	16774 15223 18774 21292 16777 21002 18530 17494 14912 16214 17923 20035 19444 19110 16787 18252 14881 19478 18257 21530 20922 14862 19083 15545 19255 16770 17701 18150 18352 21391 20881 19062 17038 15987 16136 21423 16784 15171 16053 15483 16564 21097 17962 17448 16745 20991 15432 
expenditure	18001 17970 18625 21561 18774 20095 
individually	17574 
province	15798 16318 15043 16680 18306 17443 16750 16122 14959 14852 17457 17923 
soviet	21368 14928 15844 19097 20459 15556 21369 17462 20474 19964 18329 21502 16318 17473 19262 16144 19509 15856 21536 15194 15863 19295 21031 16009 20231 21575 16366 15531 20645 15386 15893 15472 21423 21568 18554 20208 15876 21123 15999 16897 
lazo	15413 
italiana	15121 16173 
econmomic	19028 
brokers	17044 14907 15956 14840 17455 19432 15726 14890 20267 19241 20259 15620 21493 17731 16117 20458 16226 15531 20667 19368 20500 16068 17877 18672 
camden	15476 
believes	18744 16589 17760 16770 16072 15349 15149 15063 16604 15345 16680 16565 17970 18095 16232 16216 16784 15581 20311 16909 15227 18663 16875 20911 
retained	15967 19683 19509 18034 17839 15875 16037 15616 14921 17513 19325 
734	17556 21209 16030 16801 15871 
comparisons	15890 15906 15860 15871 14967 20753 15953 16195 15864 15875 15853 
pzl	16112 16636 15964 
picc	21252 
views	16747 19432 20348 18185 15550 21508 
backfat	21367 
longview	18906 
nutritional	15641 
ctec	15682 
concerted	15549 15454 20348 18142 
fought	18228 
pet	21382 19832 
favour	17620 18604 14891 16226 14877 15817 20045 15460 15444 15552 15442 19318 
gulf	16005 21369 20991 20778 21475 17750 16438 17470 19560 21006 21197 20756 18329 21385 21502 16166 21486 20624 18521 20090 17492 19491 20464 21382 17658 21443 20982 20981 18340 20882 21574 19947 21485 20101 16593 20828 20719 17952 16607 20909 17925 14891 21131 21149 21013 19998 19403 16366 15531 21002 20902 15230 20881 21506 18052 19828 20444 21517 16173 17436 16710 20774 19397 21568 21484 19559 18160 20034 19069 21459 20632 20092 20333 19684 16885 17462 18328 20890 18271 17780 20030 16649 17888 19756 15063 20103 21076 21482 19996 19882 18357 15238 19380 18231 19285 
thailand	16166 14882 15928 14832 18128 21391 15424 16079 21570 19033 21493 15914 17529 18191 15910 15446 19065 
siezed	18922 
nher	15961 
transparent	21486 
shlm	21266 
disregard	14921 
easily	21486 16565 14890 16430 20890 15063 20959 
318p	16140 
colombo	17979 17494 14841 19069 20267 
vncp	16725 
deteriorating	18849 17452 
acrimony	19167 
nevertheless	18604 17039 
coupled	17750 17883 20186 18990 
give	16513 18313 21382 19761 19087 19412 16357 21293 14988 20624 16094 21525 18851 16589 18340 16449 18479 17883 16680 16442 16023 20828 19875 18604 16146 21013 16777 16833 16006 16190 18865 16505 19470 15417 19963 17700 16139 15467 17956 14885 17866 21333 14923 16216 16784 17849 14852 15453 15543 18472 15352 19684 16225 20114 15442 19387 19318 15425 16108 16332 21065 15460 19040 21571 
tanzanian	18858 18849 18902 20019 
louis	16271 17866 15801 15240 15916 18313 18263 17551 19441 
stockpile	15872 15838 19499 
spotting	20034 
dismiss	20005 18071 
hint	19483 18104 
programmable	15447 
circumventing	20186 
sideways	15442 15460 
altschul	19428 
projecting	21525 21123 18317 
eastman	19006 19737 
august	21096 15593 19727 20247 20174 21129 19844 17923 17871 18467 21028 14843 20396 16037 18277 20262 18263 18138 15043 21553 15273 15028 18557 21207 17507 21346 17558 21245 20767 19088 19943 16365 17930 21248 20682 21435 19497 18873 20116 15751 20757 19073 21551 21178 21359 21562 16417 17700 21573 20270 21532 15875 15067 19280 21473 20440 20025 15807 19697 17662 21408 20208 21073 20646 20888 14829 19512 21523 19981 18177 19732 19322 19546 15623 17896 19719 19213 18860 15132 21046 19764 18962 
galileo	16275 
alaska	20869 18108 20699 16005 17771 18066 15238 15939 20653 
chairmen	19432 19839 
reprisals	21080 20989 16784 19684 
nicol	21131 
stichler	18873 
amidst	21517 
chi	20264 19040 
predicting	16201 16171 17731 19005 19201 
indian	21497 20232 19088 17979 17494 19069 
awaits	15798 18811 19930 19786 
katsuhiko	20001 
deny	18257 17948 16833 17886 21473 
wellhead	21018 
xicor	15477 
lulled	21486 
defences	20774 
vastagh	16630 
reiterates	20092 20103 19263 
unfiltered	16310 
technolgies	19645 
theoretically	15106 
drills	18567 
nash	18988 
concrete	15449 21002 15625 15442 18360 14900 15460 
inc	20442 20159 16307 17873 20803 17787 20457 20712 18896 19344 16625 17766 15967 20228 16438 19763 20217 19308 16410 20471 18840 20558 20793 16206 16684 17574 14998 17706 15307 16427 20747 18768 18682 16502 16369 17601 16112 20525 15553 17659 19744 20396 20562 19271 18938 21140 15542 18610 15616 16278 18277 20584 19359 16029 17810 15963 21133 16518 19921 15819 20142 16166 16588 18955 16555 20835 20374 18309 17857 21176 19683 15861 20450 15122 14995 20379 15918 19692 20721 15810 21234 16342 14962 16409 20328 16583 15028 17489 19854 18079 15119 21022 16636 21036 15144 20479 16443 17589 18602 18217 17612 17671 18138 20363 21192 20206 21165 21264 15732 20370 19679 18963 20790 16695 18252 19473 15026 20915 17507 16163 21301 18986 15742 17558 21164 19965 19912 15691 21330 18605 18303 21181 18732 19865 16348 21503 15894 16289 19630 16809 19959 16679 21275 20165 20210 16432 19451 16465 16376 15188 19703 21032 19478 15602 20409 18205 16247 15103 17776 21382 20699 18243 16600 16923 16117 20381 16835 19374 20221 16337 18751 19831 16798 16386 19448 14932 16911 16510 16802 16454 16685 20898 21041 20685 19136 15239 21256 16523 16737 16476 16026 21308 20432 17569 17513 19808 15060 18071 19943 19113 15956 17973 20671 19422 21454 19462 15605 16824 20352 19378 17798 20883 15259 20982 18590 16021 19915 16813 15501 18149 16723 15898 19258 18180 14985 19159 20414 20666 16806 18873 19639 15797 21136 17518 16700 16714 21095 18157 20502 16449 20207 19962 21208 21237 21103 20917 21272 16055 20641 19379 15782 21050 17502 15296 20652 20181 15834 17760 20775 16007 21388 16801 19712 15326 20801 14963 19803 19762 16115 20651 20235 19572 19860 16593 18944 16561 19475 18135 17597 19453 17771 16587 15336 17034 21233 15777 18187 19635 15639 19799 15563 15932 21474 17802 18342 17834 17685 16711 15016 17749 19983 16496 19903 18300 17562 20792 18686 15233 16211 17037 17556 20151 19727 21166 15596 15315 20140 17540 17701 17529 14967 21222 15968 18830 16635 15590 19875 17551 15888 16565 15692 19447 15668 17712 16747 15172 21356 15077 17723 19057 20824 15511 18236 21055 21173 16838 15477 20135 19780 19410 15189 15585 17957 19142 21195 16850 15679 20515 20910 17965 17630 20174 19810 15161 18146 19802 21260 15023 15359 17545 20337 15348 20213 20166 17652 18648 19155 19181 16619 16371 19648 15337 18922 21244 19334 19713 19773 17506 15961 20380 15739 15190 18600 15210 20529 15312 20813 20569 15274 15878 14978 19645 17573 20771 19087 15372 15495 17753 19766 21040 19711 18258 17839 16816 17782 19270 15544 20105 19368 17716 15823 16522 18654 16546 17978 15569 21416 20901 17763 20618 20650 16665 21315 15902 21429 14888 20112 15146 19946 18062 17673 16884 17853 17559 17967 20168 18052 16299 19256 21489 19968 21178 20838 15570 20234 19470 18017 16531 19435 15558 21480 18658 16800 14941 16648 19386 21266 15308 19935 14863 15964 19963 16688 19933 20946 15204 21271 16210 15993 15489 16173 21012 16710 15841 21232 16610 19375 20567 16417 20800 17700 19424 17035 20945 17543 20388 15595 21143 16072 16136 17792 15969 18142 20679 18577 17816 18354 19751 19870 15920 19787 18718 17960 18708 20270 16377 17956 14970 16262 16676 20920 16238 19644 21045 19290 18120 15005 15062 19930 21194 19758 21236 17863 19381 21117 19710 20319 21462 16826 16441 15349 16687 19331 16284 19975 19906 16655 15120 19649 15226 15879 15674 15667 21203 19482 15682 15141 16925 18576 18910 16837 18730 16865 20744 20274 19364 19874 18185 18842 21291 16216 19723 18606 15790 17625 16053 16395 18857 20668 17651 21071 17576 20300 19895 20673 20905 21113 19312 17827 19680 15476 16815 19721 21408 18036 21073 20646 16244 20473 15264 17822 15600 17975 17677 16677 15128 20252 16013 19369 21419 20321 16219 19127 17849 20311 18861 15881 18229 20180 19193 20499 16804 21189 20913 19767 19833 21210 17644 16339 19471 18921 19431 18028 16316 17655 21261 19745 17617 20395 20804 19862 15719 19981 17488 21415 16858 15306 18591 17687 15309 20255 15136 19297 21404 16622 18210 19241 15205 16354 16458 20310 18816 15149 15479 19009 17672 18166 16527 18213 15138 21007 21455 19028 19419 21227 19459 15641 21287 16400 20776 16664 17585 20114 18778 17714 18065 19466 15698 16653 18334 16574 18239 18807 21193 19866 16675 20583 15052 15708 16652 15753 18752 16030 21431 16663 16885 17837 21257 17746 17694 15912 18575 20561 20463 21411 16203 16584 15623 16797 17972 20695 15281 15175 19050 20216 18155 15213 16874 15565 20527 15669 20373 19412 21298 18048 19343 19719 20545 15981 17669 20308 18234 21393 15294 16727 15626 21253 21182 17031 15063 15897 18906 18859 17538 19812 20291 20639 19737 16819 15208 15757 16538 19365 17579 15091 16283 17950 20119 21251 20658 21252 15053 16493 15591 19890 18111 17519 18832 15464 20983 17654 18663 19704 16707 15118 18238 16825 21242 20586 19856 15031 14933 15995 16459 15006 19263 16332 14949 21053 19681 16808 21065 18467 17860 16041 15061 15984 18336 17773 19663 20546 19283 18585 15126 15594 14958 17036 21230 15212 16706 21105 16440 18186 16890 18898 17643 19272 15713 16317 19351 16551 15821 16480 17864 19304 19380 20669 19674 16814 16718 21376 15238 15664 15851 21228 15363 20734 16403 15482 18249 16288 21046 19764 18962 16563 21325 18040 21039 16404 15111 16549 15988 14954 20552 21240 15832 20672 16917 17988 15629 16886 18223 17809 20766 
catalogue	20611 
jobs	16171 20439 19478 21031 19055 19163 21023 18996 16158 19828 
mee	17812 
steelmakers	17674 18752 
resigned	17706 17502 20662 15596 16354 
invn	20817 
70	16230 20226 15798 16080 20309 19359 18086 20533 18521 20206 20273 15329 15732 19912 15026 15894 17825 15103 15090 21275 15928 15239 19198 16759 20352 20746 15906 16185 15689 20917 20634 18873 20652 16495 15871 19561 15444 16023 16680 20357 17913 15921 16067 15863 16066 14913 17048 19295 17041 21191 15914 18306 20353 21542 17957 15925 21265 15910 17506 15953 21129 18470 21414 21281 21416 17812 18523 20168 20286 16833 20038 21511 15327 20234 20223 15558 15950 17887 21271 15489 16118 19982 16072 16628 15875 20833 16839 21117 21437 15005 15868 16068 15704 15874 15625 15024 19152 20668 20905 19312 15106 15391 19431 16176 14930 15865 20773 21550 17923 20237 21386 18009 17848 16236 21251 18698 21224 16718 19213 17477 20822 
bankamerica	21202 
542	16684 20747 19651 21562 20983 
taking	18222 16166 20232 20341 15121 17876 15179 15313 19546 20787 14839 15629 14843 18938 14904 21536 17455 14862 19781 15639 19255 15510 21542 14891 21131 16095 20881 16158 16195 17886 21517 17956 14890 19048 17618 19760 15567 19471 16644 19050 15292 16332 15768 15238 19351 19285 18104 14900 
quoted	21006 20090 19491 21530 20101 19255 21517 15767 21303 19882 16763 19560 16775 14921 16765 19165 18128 16180 17952 16607 21149 19403 20907 21506 15410 21557 14888 19397 21568 20500 18136 20893 14909 18466 15112 15581 16096 15556 16071 19684 17707 16649 16790 17448 18490 17911 17950 21216 14911 
lewiston	16922 
indefinitely	20835 20792 
spudded	17516 
defending	19541 21131 15230 21138 
210	21368 16285 15028 15844 20566 18911 16327 21405 21123 21423 18326 15875 19644 20550 19986 15141 19844 17585 16751 20527 19343 
965	18904 20480 15625 17751 
tested	19832 15112 17714 
stations	19892 21371 15739 15995 16917 
entity	20446 21078 18861 16727 
airport	18873 16095 16139 19297 16354 
misc	15584 
reckoned	21391 15372 
tech	15314 15898 15682 15479 18317 
referendum	18973 
approaches	19378 20462 20632 19964 20035 
totalling	15448 21541 20757 18470 19073 15573 14964 16176 17896 
641	20926 17901 21195 19821 20600 21112 21325 17477 
slifka	18590 
eliminating	19918 19557 
dressed	16379 16519 
merieux	19959 
anymore	15149 
sevice	19208 
weis	15053 
bbls	18311 19832 
straightforward	20262 
lobby	17686 17670 17477 17674 21391 
detergents	17509 
resorts	21292 21291 
pieces	19930 
uct	15145 
formed	15122 17671 16163 15156 18658 18842 18861 18210 19419 17780 21376 16513 17766 21469 18071 16776 20352 17569 17513 17509 16496 20753 21391 15121 16226 15210 17782 19087 17863 19930 16868 21466 21318 21028 
cfib	20558 
countenance	20048 
thrift	18670 19950 19702 17770 16893 19726 19734 
interregnum	19367 
competitor	19950 15372 19734 
arnold	17839 
energies	19359 
927	21447 15871 21300 19267 21283 
575	20363 15593 15906 14828 15875 15062 17672 20527 16645 
administratively	18700 
medco	17538 
thoughts	16929 
894	20442 20176 
